filename|entry_date|entry_timestamp|book|chapter|verse
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:00:25|Wed 1 Jan 2014 00:00:25|Romans|8|29
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:01:00|Wed 1 Jan 2014 00:01:00|Romans|8|28
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:01:14|Wed 1 Jan 2014 00:01:14|Romans|8|29
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:01:53|Wed 1 Jan 2014 00:01:53|Romans|8|29
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:01:54|Wed 1 Jan 2014 00:01:54|Romans|8|29
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:01:54|Wed 1 Jan 2014 00:01:54|Romans|8|29
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:42|Wed 1 Jan 2014 00:05:42|Romans|7|20
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:43|Wed 1 Jan 2014 00:05:43|Romans|7|21
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:44|Wed 1 Jan 2014 00:05:44|Romans|7|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:45|Wed 1 Jan 2014 00:05:45|Romans|7|23
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:45|Wed 1 Jan 2014 00:05:45|Romans|7|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:46|Wed 1 Jan 2014 00:05:46|Romans|7|25
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:05:47|Wed 1 Jan 2014 00:05:47|Romans|7|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:06:09|Wed 1 Jan 2014 00:06:09|Romans|7|25
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:16|Wed 1 Jan 2014 00:07:16|Romans|7|24
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:17|Wed 1 Jan 2014 00:07:17|Romans|7|23
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:18|Wed 1 Jan 2014 00:07:18|Romans|7|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:19|Wed 1 Jan 2014 00:07:19|Romans|7|21
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:07:19|Wed 1 Jan 2014 00:07:19|Romans|7|20
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:09:56|Wed 1 Jan 2014 00:09:56|1Corinthians|3|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:13|Wed 1 Jan 2014 00:10:13|1Corinthians|2|15
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:28|Wed 1 Jan 2014 00:10:28|1Corinthians|2|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:29|Wed 1 Jan 2014 00:10:29|1Corinthians|2|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:29|Wed 1 Jan 2014 00:10:29|1Corinthians|2|12
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:29|Wed 1 Jan 2014 00:10:29|1Corinthians|2|11
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:30|Wed 1 Jan 2014 00:10:30|1Corinthians|2|10
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:30|Wed 1 Jan 2014 00:10:30|1Corinthians|2|9
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:30|Wed 1 Jan 2014 00:10:30|1Corinthians|2|8
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:31|Wed 1 Jan 2014 00:10:31|1Corinthians|2|7
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:10:42|Wed 1 Jan 2014 00:10:42|1Corinthians|2|8
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:06|Wed 1 Jan 2014 00:11:06|1Corinthians|2|8
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:17|Wed 1 Jan 2014 00:11:17|1Corinthians|2|9
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:29|Wed 1 Jan 2014 00:11:29|1Corinthians|2|10
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:39|Wed 1 Jan 2014 00:11:39|1Corinthians|2|10
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:40|Wed 1 Jan 2014 00:11:40|1Corinthians|2|9
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:43|Wed 1 Jan 2014 00:11:43|1Corinthians|2|9
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:53|Wed 1 Jan 2014 00:11:53|1Corinthians|2|9
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:54|Wed 1 Jan 2014 00:11:54|1Corinthians|2|10
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:11:55|Wed 1 Jan 2014 00:11:55|1Corinthians|2|10
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:12:13|Wed 1 Jan 2014 00:12:13|1Corinthians|2|11
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:12:19|Wed 1 Jan 2014 00:12:19|1Corinthians|2|11
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:12:22|Wed 1 Jan 2014 00:12:22|1Corinthians|2|10
