filename|file_date
BDA 2018 8 19.txt|2018-08-19
BDA 2020 7 04.txt|2020-07-04
BDA 2018 6 20.txt|2018-06-20
BDA 2021 7 10.txt|2021-07-10
BDA 2019 10 16.txt|2019-10-16
BDA 2019 10 02.txt|2019-10-02
BDA 2019 8 25.txt|2019-08-25
BDA 2014 10 15.txt|2014-10-15
BDA 2015 7 12.txt|2015-07-12
BDA 2014 10 01.txt|2014-10-01
BDA 2022 12 25.txt|2022-12-25
BDA 2014 7 06.txt|2014-07-06
BDA 2014 9 03.txt|2014-09-03
BDA 2014 10 29.txt|2014-10-29
BDA 2014 9 17.txt|2014-09-17
BDA 2016 4 10.txt|2016-04-10
BDA 2017 4 04.txt|2017-04-04
BDA 2017 4 10.txt|2017-04-10
BDA 2017 3 19.txt|2017-03-19
BDA 2016 11 16.txt|2016-11-16
BDA 2016 11 02.txt|2016-11-02
BDA 2022 4 06.txt|2022-04-06
BDA 2023 4 12.txt|2023-04-12
BDA 2022 3 27.txt|2022-03-27
BDA 2017 1 08.txt|2017-01-08
BDA 2016 6 15.txt|2016-06-15
BDA 2016 6 01.txt|2016-06-01
BDA 2016 1 20.txt|2016-01-20
BDA 2016 6 29.txt|2016-06-29
BDA 2016 8 10.txt|2016-08-10
BDA 2017 12 24.txt|2017-12-24
BDA 2017 12 18.txt|2017-12-18
BDA 2023 8 06.txt|2023-08-06
BDA 2023 1 22.txt|2023-01-22
BDA 2021 5 01.txt|2021-05-01
BDA 2021 5 15.txt|2021-05-15
BDA 2018 3 04.txt|2018-03-04
BDA 2018 3 10.txt|2018-03-10
BDA 2021 2 20.txt|2021-02-20
BDA 2015 5 03.txt|2015-05-03
BDA 2014 12 10.txt|2014-12-10
BDA 2014 5 03.txt|2014-05-03
BDA 2015 5 17.txt|2015-05-17
BDA 2015 2 22.txt|2015-02-22
BDA 2014 2 23.txt|2014-02-23
BDA 2022 10 09.txt|2022-10-09
BDA 2021 2 21.txt|2021-02-21
BDA 2018 3 11.txt|2018-03-11
BDA 2018 4 24.txt|2018-04-24
BDA 2020 2 09.txt|2020-02-09
BDA 2019 4 24.txt|2019-04-24
BDA 2022 8 07.txt|2022-08-07
BDA 2017 12 19.txt|2017-12-19
BDA 2023 8 13.txt|2023-08-13
BDA 2022 1 23.txt|2022-01-23
BDA 2017 12 31.txt|2017-12-31
BDA 2017 6 28.txt|2017-06-28
BDA 2013 11 30.txt|2013-11-30
BDA 2013 11 24.txt|2013-11-24
BDA 2017 6 14.txt|2017-06-14
BDA 2023 3 26.txt|2023-03-26
BDA 2022 4 13.txt|2022-04-13
BDA 2021 12 04.txt|2021-12-04
BDA 2016 3 30.txt|2016-03-30
BDA 2017 4 11.txt|2017-04-11
BDA 2016 4 05.txt|2016-04-05
BDA 2015 9 02.txt|2015-09-02
BDA 2022 12 18.txt|2022-12-18
BDA 2015 9 16.txt|2015-09-16
BDA 2014 7 13.txt|2014-07-13
BDA 2019 6 09.txt|2019-06-09
BDA 2018 1 14.txt|2018-01-14
BDA 2018 11 20.txt|2018-11-20
BDA 2018 1 28.txt|2018-01-28
BDA 2019 8 18.txt|2019-08-18
BDA 2020 7 11.txt|2020-07-11
BDA 2019 6 23.txt|2019-06-23
BDA 2021 7 07.txt|2021-07-07
BDA 2019 1 02.txt|2019-01-02
BDA 2020 9 16.txt|2020-09-16
BDA 2018 1 02.txt|2018-01-02
BDA 2020 9 02.txt|2020-09-02
BDA 2018 8 26.txt|2018-08-26
BDA 2014 9 28.txt|2014-09-28
BDA 2015 7 11.txt|2015-07-11
BDA 2015 7 05.txt|2015-07-05
BDA 2015 11 21.txt|2015-11-21
BDA 2014 9 14.txt|2014-09-14
BDA 2016 4 13.txt|2016-04-13
BDA 2017 3 26.txt|2017-03-26
BDA 2021 12 12.txt|2021-12-12
BDA 2017 10 22.txt|2017-10-22
BDA 2023 4 05.txt|2023-04-05
BDA 2017 8 13.txt|2017-08-13
BDA 2021 10 17.txt|2021-10-17
BDA 2022 1 09.txt|2022-01-09
BDA 2023 6 14.txt|2023-06-14
BDA 2023 6 28.txt|2023-06-28
BDA 2020 5 02.txt|2020-05-02
BDA 2021 5 16.txt|2021-05-16
BDA 2020 5 16.txt|2020-05-16
BDA 2019 12 04.txt|2019-12-04
BDA 2020 2 23.txt|2020-02-23
BDA 2014 12 07.txt|2014-12-07
BDA 2022 10 23.txt|2022-10-23
BDA 2014 2 09.txt|2014-02-09
BDA 2014 5 14.txt|2014-05-14
BDA 2013 11 10_3170.txt|2013-11-10
BDA 2014 5 28.txt|2014-05-28
BDA 2023 11 29.txt|2023-11-29
BDA 2015 2 08.txt|2015-02-08
BDA 2023 11 01.txt|2023-11-01
BDA 2014 2 08.txt|2014-02-08
BDA 2019 12 11.txt|2019-12-11
BDA 2018 3 06.txt|2018-03-06
BDA 2018 3 12.txt|2018-03-12
BDA 2020 5 17.txt|2020-05-17
BDA 2022 6 29.txt|2022-06-29
BDA 2022 8 10.txt|2022-08-10
BDA 2017 12 26.txt|2017-12-26
BDA 2023 1 08.txt|2023-01-08
BDA 2022 6 15.txt|2022-06-15
BDA 2021 10 02.txt|2021-10-02
BDA 2022 6 01.txt|2022-06-01
BDA 2020 11 21.txt|2020-11-21
BDA 2016 8 06.txt|2016-08-06
BDA 2013 11 27.txt|2013-11-27
BDA 2017 8 06.txt|2017-08-06
BDA 2017 1 22.txt|2017-01-22
BDA 2017 10 23.txt|2017-10-23
BDA 2023 3 19.txt|2023-03-19
BDA 2016 3 27.txt|2016-03-27
BDA 2016 4 06.txt|2016-04-06
BDA 2017 4 12.txt|2017-04-12
BDA 2015 11 08.txt|2015-11-08
BDA 2018 8 27.txt|2018-08-27
BDA 2020 9 13.txt|2020-09-13
BDA 2019 1 13.txt|2019-01-13
BDA 2018 1 07.txt|2018-01-07
BDA 2018 6 26.txt|2018-06-26
BDA 2019 6 26.txt|2019-06-26
BDA 2015 11 18.txt|2015-11-18
BDA 2016 3 23.txt|2016-03-23
BDA 2017 4 16.txt|2017-04-16
BDA 2017 4 02.txt|2017-04-02
BDA 2022 3 09.txt|2022-03-09
BDA 2017 8 02.txt|2017-08-02
BDA 2017 8 16.txt|2017-08-16
BDA 2017 6 13.txt|2017-06-13
BDA 2017 6 07.txt|2017-06-07
BDA 2022 1 30.txt|2022-01-30
BDA 2022 8 14.txt|2022-08-14
BDA 2023 6 11.txt|2023-06-11
BDA 2023 1 18.txt|2023-01-18
BDA 2022 8 28.txt|2022-08-28
BDA 2020 11 25.txt|2020-11-25
BDA 2022 6 05.txt|2022-06-05
BDA 2021 10 06.txt|2021-10-06
BDA 2018 3 16.txt|2018-03-16
BDA 2019 12 01.txt|2019-12-01
BDA 2019 12 15.txt|2019-12-15
BDA 2020 2 26.txt|2020-02-26
BDA 2020 5 13.txt|2020-05-13
BDA 2019 12 29.txt|2019-12-29
BDA 2014 2 24.txt|2014-02-24
BDA 2023 11 05.txt|2023-11-05
BDA 2014 5 11.txt|2014-05-11
BDA 2014 2 19.txt|2014-02-19
BDA 2014 5 04.txt|2014-05-04
BDA 2014 12 03.txt|2014-12-03
BDA 2015 5 10.txt|2015-05-10
BDA 2015 2 25.txt|2015-02-25
BDA 2021 5 12.txt|2021-05-12
BDA 2020 5 06.txt|2020-05-06
BDA 2021 2 27.txt|2021-02-27
BDA 2022 1 19.txt|2022-01-19
BDA 2023 6 04.txt|2023-06-04
BDA 2021 10 13.txt|2021-10-13
BDA 2023 1 25.txt|2023-01-25
BDA 2020 11 18.txt|2020-11-18
BDA 2017 6 06.txt|2017-06-06
BDA 2016 6 12.txt|2016-06-12
BDA 2016 1 27.txt|2016-01-27
BDA 2016 8 03.txt|2016-08-03
BDA 2016 8 17.txt|2016-08-17
BDA 2023 3 08.txt|2023-03-08
BDA 2022 3 20.txt|2022-03-20
BDA 2016 4 17.txt|2016-04-17
BDA 2016 4 03.txt|2016-04-03
BDA 2017 3 22.txt|2017-03-22
BDA 2014 10 12.txt|2014-10-12
BDA 2015 7 01.txt|2015-07-01
BDA 2015 11 25.txt|2015-11-25
BDA 2015 7 15.txt|2015-07-15
BDA 2015 7 29.txt|2015-07-29
BDA 2014 9 10.txt|2014-09-10
BDA 2021 7 17.txt|2021-07-17
BDA 2018 6 27.txt|2018-06-27
BDA 2018 8 22.txt|2018-08-22
BDA 2020 9 06.txt|2020-09-06
BDA 2019 1 06.txt|2019-01-06
BDA 2019 6 19.txt|2019-06-19
BDA 2018 11 24.txt|2018-11-24
BDA 2019 10 13.txt|2019-10-13
BDA 2018 6 19.txt|2018-06-19
BDA 2020 9 10.txt|2020-09-10
BDA 2020 7 15.txt|2020-07-15
BDA 2018 8 08.txt|2018-08-08
BDA 2020 7 01.txt|2020-07-01
BDA 2015 9 06.txt|2015-09-06
BDA 2016 3 20.txt|2016-03-20
BDA 2017 3 08.txt|2017-03-08
BDA 2017 10 18.txt|2017-10-18
BDA 2023 3 22.txt|2023-03-22
BDA 2022 4 17.txt|2022-04-17
BDA 2017 10 30.txt|2017-10-30
BDA 2017 8 15.txt|2017-08-15
BDA 2016 1 31.txt|2016-01-31
BDA 2017 1 25.txt|2017-01-25
BDA 2017 8 29.txt|2017-08-29
BDA 2017 6 04.txt|2017-06-04
BDA 2022 8 03.txt|2022-08-03
BDA 2022 8 17.txt|2022-08-17
BDA 2017 12 09.txt|2017-12-09
BDA 2022 6 12.txt|2022-06-12
BDA 2018 4 08.txt|2018-04-08
BDA 2020 2 19.txt|2020-02-19
BDA 2022 10 19.txt|2022-10-19
BDA 2015 5 06.txt|2015-05-06
BDA 2023 11 12.txt|2023-11-12
BDA 2015 5 13.txt|2015-05-13
BDA 2014 5 07.txt|2014-05-07
BDA 2014 12 14.txt|2014-12-14
BDA 2022 10 30.txt|2022-10-30
BDA 2014 2 26.txt|2014-02-26
BDA 2014 12 28.txt|2014-12-28
BDA 2018 4 21.txt|2018-04-21
BDA 2019 4 21.txt|2019-04-21
BDA 2021 2 24.txt|2021-02-24
BDA 2021 10 10.txt|2021-10-10
BDA 2023 6 07.txt|2023-06-07
BDA 2023 8 02.txt|2023-08-02
BDA 2023 8 16.txt|2023-08-16
BDA 2022 1 26.txt|2022-01-26
BDA 2013 11 09.txt|2013-11-09
BDA 2017 6 11.txt|2017-06-11
BDA 2017 1 18.txt|2017-01-18
BDA 2016 6 05.txt|2016-06-05
BDA 2016 8 28.txt|2016-08-28
BDA 2016 8 14.txt|2016-08-14
BDA 2016 1 24.txt|2016-01-24
BDA 2023 4 16.txt|2023-04-16
BDA 2021 12 15.txt|2021-12-15
BDA 2016 11 06.txt|2016-11-06
BDA 2017 10 31.txt|2017-10-31
BDA 2016 11 12.txt|2016-11-12
BDA 2017 10 25.txt|2017-10-25
BDA 2021 12 01.txt|2021-12-01
BDA 2023 4 02.txt|2023-04-02
BDA 2021 12 29.txt|2021-12-29
BDA 2022 3 23.txt|2022-03-23
BDA 2016 3 09.txt|2016-03-09
BDA 2017 3 09.txt|2017-03-09
BDA 2017 3 21.txt|2017-03-21
BDA 2014 7 02.txt|2014-07-02
BDA 2022 12 21.txt|2022-12-21
BDA 2014 10 05.txt|2014-10-05
BDA 2014 7 16.txt|2014-07-16
BDA 2015 9 13.txt|2015-09-13
BDA 2014 9 07.txt|2014-09-07
BDA 2018 6 24.txt|2018-06-24
BDA 2019 6 30.txt|2019-06-30
BDA 2019 8 21.txt|2019-08-21
BDA 2019 10 06.txt|2019-10-06
BDA 2020 9 05.txt|2020-09-05
BDA 2018 11 25.txt|2018-11-25
BDA 2018 8 21.txt|2018-08-21
BDA 2017 9 27.txt|2017-09-27
BDA 2016 12 18.txt|2016-12-18
BDA 2020 10 28.txt|2020-10-28
BDA 2022 9 25.txt|2022-09-25
BDA 2022 7 20.txt|2022-07-20
BDA 2020 10 14.txt|2020-10-14
BDA 2021 3 03.txt|2021-03-03
BDA 2019 2 27.txt|2019-02-27
BDA 2021 3 17.txt|2021-03-17
BDA 2018 2 27.txt|2018-02-27
BDA 2019 5 12.txt|2019-05-12
BDA 2020 4 22.txt|2020-04-22
BDA 2018 5 06.txt|2018-05-06
BDA 2023 10 08.txt|2023-10-08
BDA 2015 4 08.txt|2015-04-08
BDA 2015 3 01.txt|2015-03-01
BDA 2014 4 08.txt|2014-04-08
BDA 2015 3 15.txt|2015-03-15
BDA 2014 3 29.txt|2014-03-29
BDA 2014 4 20.txt|2014-04-20
BDA 2015 3 29.txt|2015-03-29
BDA 2021 8 22.txt|2021-08-22
BDA 2020 1 12.txt|2020-01-12
BDA 2021 1 06.txt|2021-01-06
BDA 2020 8 22.txt|2020-08-22
BDA 2020 6 27.txt|2020-06-27
BDA 2019 11 09.txt|2019-11-09
BDA 2019 7 03.txt|2019-07-03
BDA 2018 7 17.txt|2018-07-17
BDA 2015 1 04.txt|2015-01-04
BDA 2014 8 20.txt|2014-08-20
BDA 2014 6 25.txt|2014-06-25
BDA 2014 11 22.txt|2014-11-22
BDA 2015 10 01.txt|2015-10-01
BDA 2013 12 17.txt|2013-12-17
BDA 2013 12 03.txt|2013-12-03
BDA 2017 2 12.txt|2017-02-12
BDA 2017 8 13(1).txt|2017-08-13
BDA 2017 5 27.txt|2017-05-27
BDA 2016 10 09.txt|2016-10-09
BDA 2023 5 31.txt|2023-05-31
BDA 2017 11 02.txt|2017-11-02
BDA 2023 5 24.txt|2023-05-24
BDA 2023 2 05.txt|2023-02-05
BDA 2022 5 18.txt|2022-05-18
BDA 2016 2 07.txt|2016-02-07
BDA 2013 12 02.txt|2013-12-02
BDA 2015 6 24.txt|2015-06-24
BDA 2015 8 09.txt|2015-08-09
BDA 2023 12 24.txt|2023-12-24
BDA 2015 10 14.txt|2015-10-14
BDA 2014 11 23.txt|2014-11-23
BDA 2014 1 05.txt|2014-01-05
BDA 2015 1 11.txt|2015-01-11
BDA 2014 6 18.txt|2014-06-18
BDA 2015 10 28.txt|2015-10-28
BDA 2015 8 21.txt|2015-08-21
BDA 2014 1 11.txt|2014-01-11
BDA 2018 10 03.txt|2018-10-03
BDA 2021 1 13.txt|2021-01-13
BDA 2019 11 20.txt|2019-11-20
BDA 2022 11 16.txt|2022-11-16
BDA 2014 3 28.txt|2014-03-28
BDA 2022 11 02.txt|2022-11-02
BDA 2014 4 09.txt|2014-04-09
BDA 2018 5 13.txt|2018-05-13
BDA 2018 12 12.txt|2018-12-12
BDA 2022 9 18.txt|2022-09-18
BDA 2016 12 25.txt|2016-12-25
BDA 2023 9 24.txt|2023-09-24
BDA 2017 7 23.txt|2017-07-23
BDA 2017 9 26.txt|2017-09-26
BDA 2016 7 09.txt|2016-07-09
BDA 2017 7 09.txt|2017-07-09
BDA 2017 9 24.txt|2017-09-24
BDA 2016 9 18.txt|2016-09-18
BDA 2020 10 17.txt|2020-10-17
BDA 2021 11 20.txt|2021-11-20
BDA 2020 10 03.txt|2020-10-03
BDA 2021 3 14.txt|2021-03-14
BDA 2019 2 24.txt|2019-02-24
BDA 2018 2 18.txt|2018-02-18
BDA 2021 3 28.txt|2021-03-28
BDA 2019 5 05.txt|2019-05-05
BDA 2021 4 21.txt|2021-04-21
BDA 2020 3 28.txt|2020-03-28
BDA 2020 4 21.txt|2020-04-21
BDA 2014 3 16.txt|2014-03-16
BDA 2014 4 23.txt|2014-04-23
BDA 2015 12 13.txt|2015-12-13
BDA 2020 1 05.txt|2020-01-05
BDA 2018 9 05.txt|2018-09-05
BDA 2019 9 11.txt|2019-09-11
BDA 2018 10 01.txt|2018-10-01
BDA 2020 6 18.txt|2020-06-18
BDA 2019 7 28.txt|2019-07-28
BDA 2018 9 11.txt|2018-09-11
BDA 2020 6 24.txt|2020-06-24
BDA 2014 11 09.txt|2014-11-09
BDA 2014 1 07.txt|2014-01-07
BDA 2015 8 23.txt|2015-08-23
BDA 2015 10 16.txt|2015-10-16
BDA 2014 6 26.txt|2014-06-26
BDA 2013 12 14.txt|2013-12-14
BDA 2017 2 05.txt|2017-02-05
BDA 2016 5 18.txt|2016-05-18
BDA 2017 5 30.txt|2017-05-30
BDA 2022 2 13.txt|2022-02-13
BDA 2020 12 12.txt|2020-12-12
BDA 2017 11 14.txt|2017-11-14
BDA 2016 10 23.txt|2016-10-23
BDA 2020 12 13.txt|2020-12-13
BDA 2017 11 28.txt|2017-11-28
BDA 2022 2 06.txt|2022-02-06
BDA 2023 2 12.txt|2023-02-12
BDA 2013 12 29.txt|2013-12-29
BDA 2016 5 25.txt|2016-05-25
BDA 2016 2 10.txt|2016-02-10
BDA 2013 12 15.txt|2013-12-15
BDA 2013 12 01.txt|2013-12-01
BDA 2015 10 17.txt|2015-10-17
BDA 2014 1 12.txt|2014-01-12
BDA 2018 10 28.txt|2018-10-28
BDA 2020 8 08.txt|2020-08-08
BDA 2018 7 01.txt|2018-07-01
BDA 2018 7 15.txt|2018-07-15
BDA 2019 9 04.txt|2019-09-04
BDA 2018 10 14.txt|2018-10-14
BDA 2018 9 04.txt|2018-09-04
BDA 2018 7 29.txt|2018-07-29
BDA 2021 1 10.txt|2021-01-10
BDA 2015 4 22.txt|2015-04-22
BDA 2015 12 06.txt|2015-12-06
BDA 2023 10 22.txt|2023-10-22
BDA 2020 3 15.txt|2020-03-15
BDA 2019 2 25.txt|2019-02-25
BDA 2018 2 25.txt|2018-02-25
BDA 2018 12 05.txt|2018-12-05
BDA 2020 4 08.txt|2020-04-08
BDA 2020 3 01.txt|2020-03-01
BDA 2021 11 21.txt|2021-11-21
BDA 2023 9 27.txt|2023-09-27
BDA 2016 7 20.txt|2016-07-20
BDA 2016 12 25sm.txt|2016-12-25
BDA 2016 9 25.txt|2016-09-25
BDA 2017 7 30.txt|2017-07-30
BDA 2016 7 24.txt|2016-07-24
BDA 2016 9 21.txt|2016-09-21
BDA 2017 7 18.txt|2017-07-18
BDA 2021 4 24.txt|2021-04-24
BDA 2018 12 15.txt|2018-12-15
BDA 2020 4 18.txt|2020-04-18
BDA 2020 3 11.txt|2020-03-11
BDA 2015 4 26.txt|2015-04-26
BDA 2015 12 02.txt|2015-12-02
BDA 2015 12 16.txt|2015-12-16
BDA 2014 3 13.txt|2014-03-13
